tax_order,category,sci_name,comm_name,exotic,count,country,state,lat,lon,dates,observer,media,gui,comments
12328,species,"Pionus menstruus","Blue-headed Parrot","",10,Colombia,Cauca,2.57458,-77.897798,7/30/22,obsr436508,0,URN:CornellLabOfOrnithology:EBIRD:OBS1498853275,"Manacus2022_With Diego. On the trail from the airport that starts in the same place as the trail to Firme, but runs south along the airport fence before turning west to parallel the trail to Firme. In edge habitat and secondary forest."
12328,species,"Pionus menstruus","Blue-headed Parrot","",11,Colombia,Cauca,2.578045,-77.900587,7/30/22,obsr169881,0,URN:CornellLabOfOrnithology:EBIRD:OBS1488750153,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Birding the edge of the big clear cut near Guapi airport. Also checking nets during this time. With Sebastian and guide Cisto."
12328,species,"Pionus menstruus","Blue-headed Parrot","",11,Colombia,Cauca,2.578045,-77.900587,7/30/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1507663120,""
12328,species,"Pionus menstruus","Blue-headed Parrot","",12,Colombia,Cauca,2.578136,-77.900592,7/29/22,obsr164915,0,URN:CornellLabOfOrnithology:EBIRD:OBS1492550551,"Manacus2022_ Manacus expedition LSU-Humboldt Institute 2022. With Diego. Trail towards Firme from the airport, staying fairly close to the start of the trail in secondary forest."
12328,species,"Pionus menstruus","Blue-headed Parrot","",12,Colombia,Cauca,2.578136,-77.900592,7/29/22,obsr436508,0,URN:CornellLabOfOrnithology:EBIRD:OBS1498854796,"Manacus2022_With Diego. Trail towards Firme from the airport, staying fairly close to the start of the trail in secondary forest."
12328,species,"Pionus menstruus","Blue-headed Parrot","",2,Colombia,Cauca,2.574347,-77.894566,7/29/22,obsr164915,0,URN:CornellLabOfOrnithology:EBIRD:OBS1507704872,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. With Diego, Sebastian, and Eamon. Waiting for guides in front of airport."
12328,species,"Pionus menstruus","Blue-headed Parrot","",2,Colombia,Cauca,2.574347,-77.894566,7/29/22,obsr169881,0,URN:CornellLabOfOrnithology:EBIRD:OBS1488187413,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. With Diego, Sebastian, and Eamon. Waiting for guides in front of airport."
12328,species,"Pionus menstruus","Blue-headed Parrot","",2,Colombia,Cauca,2.574347,-77.894566,7/29/22,obsr436508,0,URN:CornellLabOfOrnithology:EBIRD:OBS1508318205,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. With Diego, Sebastian, and Eamon. Waiting for guides in front of airport."
12328,species,"Pionus menstruus","Blue-headed Parrot","",2,Colombia,Cauca,2.574347,-77.894566,7/29/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1507642339,""
12328,species,"Pionus menstruus","Blue-headed Parrot","",2,Colombia,Cauca,2.5778145,-77.8992464,7/30/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1488930704,""
12328,species,"Pionus menstruus","Blue-headed Parrot","",4,Colombia,Cauca,2.576318,-77.896687,7/30/22,obsr169881,0,URN:CornellLabOfOrnithology:EBIRD:OBS1495160249,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022."
12328,species,"Pionus menstruus","Blue-headed Parrot","",4,Colombia,Cauca,2.576318,-77.896687,7/30/22,obsr436508,0,URN:CornellLabOfOrnithology:EBIRD:OBS1495104332,Manacus2022_
12328,species,"Pionus menstruus","Blue-headed Parrot","",6,Colombia,Cauca,2.5778145,-77.8992464,7/31/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1489423609,""
12396,species,"Amazona farinosa","Mealy Parrot","",4,Colombia,Cauca,2.5778145,-77.8992464,7/30/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1488930703,""
12396,species,"Amazona farinosa","Mealy Parrot","",6,Colombia,Cauca,2.578045,-77.900587,7/30/22,obsr169881,0,URN:CornellLabOfOrnithology:EBIRD:OBS1488750151,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Birding the edge of the big clear cut near Guapi airport. Also checking nets during this time. With Sebastian and guide Cisto."
12396,species,"Amazona farinosa","Mealy Parrot","",6,Colombia,Cauca,2.578045,-77.900587,7/30/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1507663118,""
12944,species,"Thamnophilus atrinucha","Black-crowned Antshrike","",1,Colombia,Cauca,2.57458,-77.897798,7/30/22,obsr164915,0,URN:CornellLabOfOrnithology:EBIRD:OBS1492562588,"Manacus2022_ Manacus expedition LSU-Humboldt Institute 2022. With Diego. On the trail from the airport that starts in the same place as the trail to Firme, but runs south along the airport fence before turning west to parallel the trail to Firme. In edge habitat and secondary forest."
12944,species,"Thamnophilus atrinucha","Black-crowned Antshrike","",1,Colombia,Cauca,2.57458,-77.897798,7/30/22,obsr436508,0,URN:CornellLabOfOrnithology:EBIRD:OBS1498854779,"Manacus2022_With Diego. On the trail from the airport that starts in the same place as the trail to Firme, but runs south along the airport fence before turning west to parallel the trail to Firme. In edge habitat and secondary forest."
12944,species,"Thamnophilus atrinucha","Black-crowned Antshrike","",1,Colombia,Cauca,2.578045,-77.900587,7/30/22,obsr169881,0,URN:CornellLabOfOrnithology:EBIRD:OBS1488750145,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Birding the edge of the big clear cut near Guapi airport. Also checking nets during this time. With Sebastian and guide Cisto."
12944,species,"Thamnophilus atrinucha","Black-crowned Antshrike","",1,Colombia,Cauca,2.578045,-77.900587,7/30/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1507663113,""
12944,species,"Thamnophilus atrinucha","Black-crowned Antshrike","",2,Colombia,Cauca,2.5778145,-77.8992464,7/30/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1488930710,""
12944,species,"Thamnophilus atrinucha","Black-crowned Antshrike","",2,Colombia,Cauca,2.5778145,-77.8992464,7/31/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1489423623,""
12944,species,"Thamnophilus atrinucha","Black-crowned Antshrike","",2,Colombia,Cauca,2.578136,-77.900592,7/28/22,obsr164915,0,URN:CornellLabOfOrnithology:EBIRD:OBS1492554931,"Manacus2022_ Manacus expedition LSU-Humboldt Institute 2022. With Diego. Walking the trail from Firmé to Guapi. Started this list past the border with Nariño."
12944,species,"Thamnophilus atrinucha","Black-crowned Antshrike","",2,Colombia,Cauca,2.578136,-77.900592,7/28/22,obsr436508,0,URN:CornellLabOfOrnithology:EBIRD:OBS1498854851,"Manacus2022_With Diego. Walking the trail from Firmé to Guapi. Started this list past the border with Nariño."
