tax_order,category,sci_name,comm_name,exotic,count,country,state,lat,lon,dates,observer,media,gui,comments
12303,species,"Pyrilia pulchra","Rose-faced Parrot","",1,Colombia,"Nariño",2.584907,-77.928387,7/28/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1507642351,""
12328,species,"Pionus menstruus","Blue-headed Parrot","",2,Colombia,"Nariño",2.604152,-77.929198,7/28/22,obsr164915,0,URN:CornellLabOfOrnithology:EBIRD:OBS1507556292,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. In Buenavista for the meeting with the consejo. With Eamon, Diego, and Sebastian."
12328,species,"Pionus menstruus","Blue-headed Parrot","",2,Colombia,"Nariño",2.604152,-77.929198,7/28/22,obsr169881,0,URN:CornellLabOfOrnithology:EBIRD:OBS1488139256,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. In Buenavista for the meeting with the consejo. With Eamon, Diego, and Sebastian."
12328,species,"Pionus menstruus","Blue-headed Parrot","",2,Colombia,"Nariño",2.604152,-77.929198,7/28/22,obsr436508,0,URN:CornellLabOfOrnithology:EBIRD:OBS1508318852,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. In Buenavista for the meeting with the consejo. With Eamon, Diego, and Sebastian."
12328,species,"Pionus menstruus","Blue-headed Parrot","",2,Colombia,"Nariño",2.604152,-77.929198,7/28/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1507643445,""
12328,species,"Pionus menstruus","Blue-headed Parrot","",3,Colombia,"Nariño",2.582102,-77.941919,7/27/22,obsr164915,0,URN:CornellLabOfOrnithology:EBIRD:OBS1492539902,"Manacus2022_ Manacus expedition LSU-Humboldt Institute 2022. Birding in the village with some local kids."
12347,species,"Amazona autumnalis","Red-lored Parrot","",2,Colombia,"Nariño",2.58205,-77.94202,7/28/22,obsr164915,1,URN:CornellLabOfOrnithology:EBIRD:OBS1507811236,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. A walk through the town of Firme de San José in open habitat with scattered trees on the way to the Firme-Guapi trail. Stopped the list before entering forest. With Diego, Eamon, Sebastian, Cisto (guide), and Julian (our young teenage guide)."
12347,species,"Amazona autumnalis","Red-lored Parrot","",2,Colombia,"Nariño",2.58205,-77.94202,7/28/22,obsr169881,1,URN:CornellLabOfOrnithology:EBIRD:OBS1488119965,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. A walk through the town of Firme de San José in open habitat with scattered trees on the way to the Firme-Guapi trail. Stopped the list before entering forest. With Diego, Eamon, Sebastian, Cisto (guide), and Julian (our young teenage guide)."
12347,species,"Amazona autumnalis","Red-lored Parrot","",2,Colombia,"Nariño",2.58205,-77.94202,7/28/22,obsr436508,1,URN:CornellLabOfOrnithology:EBIRD:OBS1508318863,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. A walk through the town of Firme de San José in open habitat with scattered trees on the way to the Firme-Guapi trail. Stopped the list before entering forest. With Diego, Eamon, Sebastian, Cisto (guide), and Julian (our young teenage guide)."
12347,species,"Amazona autumnalis","Red-lored Parrot","",2,Colombia,"Nariño",2.58205,-77.94202,7/28/22,obsr792981,1,URN:CornellLabOfOrnithology:EBIRD:OBS1507643430,""
12347,species,"Amazona autumnalis","Red-lored Parrot","",2,Colombia,"Nariño",2.604152,-77.929198,7/28/22,obsr164915,0,URN:CornellLabOfOrnithology:EBIRD:OBS1507556298,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. In Buenavista for the meeting with the consejo. With Eamon, Diego, and Sebastian."
12347,species,"Amazona autumnalis","Red-lored Parrot","",2,Colombia,"Nariño",2.604152,-77.929198,7/28/22,obsr169881,0,URN:CornellLabOfOrnithology:EBIRD:OBS1488139262,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. In Buenavista for the meeting with the consejo. With Eamon, Diego, and Sebastian."
12347,species,"Amazona autumnalis","Red-lored Parrot","",2,Colombia,"Nariño",2.604152,-77.929198,7/28/22,obsr436508,0,URN:CornellLabOfOrnithology:EBIRD:OBS1508318858,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. In Buenavista for the meeting with the consejo. With Eamon, Diego, and Sebastian."
12347,species,"Amazona autumnalis","Red-lored Parrot","",2,Colombia,"Nariño",2.604152,-77.929198,7/28/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1507643451,""
12944,species,"Thamnophilus atrinucha","Black-crowned Antshrike","",2,Colombia,"Nariño",2.584907,-77.928387,7/28/22,obsr169881,0,URN:CornellLabOfOrnithology:EBIRD:OBS1488188494,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Trail between Firme and Guapi. With Sebastian and guide Julian. Ended list after setting up second set of nets."
12944,species,"Thamnophilus atrinucha","Black-crowned Antshrike","",2,Colombia,"Nariño",2.584907,-77.928387,7/28/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1507642358,""
12944,species,"Thamnophilus atrinucha","Black-crowned Antshrike","",5,Colombia,"Nariño",2.581362,-77.92214,7/28/22,obsr164915,0,URN:CornellLabOfOrnithology:EBIRD:OBS1492552426,"Manacus2022_ Manacus expedition LSU-Humboldt Institute 2022. With Diego. Walking the trail between Firmé and Guapi- stopped this list at the Cauca border."
12944,species,"Thamnophilus atrinucha","Black-crowned Antshrike","",5,Colombia,"Nariño",2.581362,-77.92214,7/28/22,obsr436508,0,URN:CornellLabOfOrnithology:EBIRD:OBS1498854862,"Manacus2022_With Diego. Walking the trail between Firmé and Guapi- stopped this list at the Cauca border."
13131,species,"Myrmotherula pacifica","Pacific Antwren","",1,Colombia,"Nariño",2.58205,-77.94202,7/28/22,obsr164915,0,URN:CornellLabOfOrnithology:EBIRD:OBS1507811241,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. A walk through the town of Firme de San José in open habitat with scattered trees on the way to the Firme-Guapi trail. Stopped the list before entering forest. With Diego, Eamon, Sebastian, Cisto (guide), and Julian (our young teenage guide)."
13131,species,"Myrmotherula pacifica","Pacific Antwren","",1,Colombia,"Nariño",2.58205,-77.94202,7/28/22,obsr169881,0,URN:CornellLabOfOrnithology:EBIRD:OBS1488119970,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. A walk through the town of Firme de San José in open habitat with scattered trees on the way to the Firme-Guapi trail. Stopped the list before entering forest. With Diego, Eamon, Sebastian, Cisto (guide), and Julian (our young teenage guide)."
13131,species,"Myrmotherula pacifica","Pacific Antwren","",1,Colombia,"Nariño",2.58205,-77.94202,7/28/22,obsr436508,0,URN:CornellLabOfOrnithology:EBIRD:OBS1508318868,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. A walk through the town of Firme de San José in open habitat with scattered trees on the way to the Firme-Guapi trail. Stopped the list before entering forest. With Diego, Eamon, Sebastian, Cisto (guide), and Julian (our young teenage guide)."
13131,species,"Myrmotherula pacifica","Pacific Antwren","",1,Colombia,"Nariño",2.58205,-77.94202,7/28/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1507643435,""
13131,species,"Myrmotherula pacifica","Pacific Antwren","",1,Colombia,"Nariño",2.582102,-77.941919,7/27/22,obsr164915,0,URN:CornellLabOfOrnithology:EBIRD:OBS1492549530,"Manacus2022_ Manacus expedition LSU-Humboldt Institute 2022. A rainy afternoon walk through town with Diego, Andre, Sebastian, Sixto, and an entourage of kids."
13131,species,"Myrmotherula pacifica","Pacific Antwren","",1,Colombia,"Nariño",2.582102,-77.941919,7/27/22,obsr169881,0,URN:CornellLabOfOrnithology:EBIRD:OBS1492556133,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. A rainy afternoon walk through town with Diego, Andre, Sebastian, Cisto, and an entourage of kids."
13131,species,"Myrmotherula pacifica","Pacific Antwren","",1,Colombia,"Nariño",2.582102,-77.941919,7/27/22,obsr436508,0,URN:CornellLabOfOrnithology:EBIRD:OBS1498854877,"Manacus2022_A rainy afternoon walk through town with Diego, Andre, Sebastian, Cisto, and an entourage of kids."
13131,species,"Myrmotherula pacifica","Pacific Antwren","",1,Colombia,"Nariño",2.582102,-77.941919,7/27/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1492555295,""
13414,species,"Poliocrania exsul","Chestnut-backed Antbird","",3,Colombia,"Nariño",2.584907,-77.928387,7/28/22,obsr169881,0,URN:CornellLabOfOrnithology:EBIRD:OBS1488188495,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Trail between Firme and Guapi. With Sebastian and guide Julian. Ended list after setting up second set of nets."
13414,species,"Poliocrania exsul","Chestnut-backed Antbird","",3,Colombia,"Nariño",2.584907,-77.928387,7/28/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1507642359,""
13414,species,"Poliocrania exsul","Chestnut-backed Antbird","",4,Colombia,"Nariño",2.581362,-77.92214,7/28/22,obsr164915,0,URN:CornellLabOfOrnithology:EBIRD:OBS1492552431,"Manacus2022_ Manacus expedition LSU-Humboldt Institute 2022. With Diego. Walking the trail between Firmé and Guapi- stopped this list at the Cauca border."
13414,species,"Poliocrania exsul","Chestnut-backed Antbird","",4,Colombia,"Nariño",2.581362,-77.92214,7/28/22,obsr436508,0,URN:CornellLabOfOrnithology:EBIRD:OBS1498854867,"Manacus2022_With Diego. Walking the trail between Firmé and Guapi- stopped this list at the Cauca border."
14034,species,"Dendrocincla fuliginosa","Plain-brown Woodcreeper","",1,Colombia,"Nariño",2.584907,-77.928387,7/28/22,obsr169881,1,URN:CornellLabOfOrnithology:EBIRD:OBS1488180969,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. List heading back towards town and checking nets. With Sebastian for a few minutes here and there but mostly just with guide Johann. Forest very quiet. Stopped list when I reached forest edge near town of Firme."
14034,species,"Dendrocincla fuliginosa","Plain-brown Woodcreeper","",1,Colombia,"Nariño",2.584907,-77.928387,7/28/22,obsr792981,1,URN:CornellLabOfOrnithology:EBIRD:OBS1507642341,""
14034,species,"Dendrocincla fuliginosa","Plain-brown Woodcreeper","",2,Colombia,"Nariño",2.5829172,-77.9261664,7/28/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1488141027,""
14224,species,"Xiphorhynchus lachrymosus","Black-striped Woodcreeper","",1,Colombia,"Nariño",2.584907,-77.928387,7/28/22,obsr169881,1,URN:CornellLabOfOrnithology:EBIRD:OBS1488180976,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. List heading back towards town and checking nets. With Sebastian for a few minutes here and there but mostly just with guide Johann. Forest very quiet. Stopped list when I reached forest edge near town of Firme."
14224,species,"Xiphorhynchus lachrymosus","Black-striped Woodcreeper","",1,Colombia,"Nariño",2.584907,-77.928387,7/28/22,obsr792981,1,URN:CornellLabOfOrnithology:EBIRD:OBS1507642348,""
