Especie (nombrecient’fico),orden
Cyanerpes caeruleus,34024
Cyanerpes cyaneus,34030
Heterospingus xanthopygius,34055
Volatinia jacarina,34360
Sporophila bouvronides,34364
Sporophila telasco,34378
Sporophila funerea,34396
Sporophila corvina,34410
Sporophila luctuosa,34432
Sporophila nigricollis,34433
Coereba flaveola,34494
Saltator maximus,34631
