tax_order,category,sci_name,comm_name,count,country,state,lat,lon,dates,observer,comments
10407,species,"Pteroglossus torquatus","Collared Aracari",3,Colombia,"Valle del Cauca",3.8472427,-76.7866175,2022-07-25,obsr792981,""
10407,species,"Pteroglossus torquatus","Collared Aracari",3,Colombia,"Valle del Cauca",3.8486402,-76.7873720,2022-07-24,obsr164915,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Point count with Eamon at 500-meter elevation clearing: 3.85030, -76.78662. Quiet for a while but then a really nice flock hit the clearing and kept us very occupied!"
10407,species,"Pteroglossus torquatus","Collared Aracari",3,Colombia,"Valle del Cauca",3.8486402,-76.7873720,2022-07-24,obsr164915,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. With Eamon, Valentina, and Victor. List from ~230 meters elevation at the road to ~500 meters at the clearing where we ended the list."
10407,species,"Pteroglossus torquatus","Collared Aracari",3,Colombia,"Valle del Cauca",3.8486402,-76.7873720,2022-07-24,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Point count with Eamon at 500-meter elevation clearing: 3.85030, -76.78662. Quiet for a while but then a really nice flock hit the clearing and kept us very occupied!"
10407,species,"Pteroglossus torquatus","Collared Aracari",3,Colombia,"Valle del Cauca",3.8486402,-76.7873720,2022-07-24,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. With Eamon, Valentina, and Victor. List from ~230 meters elevation at the road to ~500 meters at the clearing where we ended the list."
10407,species,"Pteroglossus torquatus","Collared Aracari",4,Colombia,"Valle del Cauca",3.8383471,-76.8975967,2022-07-26,obsr164915,"Manacus2022_ Manacus expedition LSU-Humboldt Institute 2022. Birds seen as we walked through town from the brujita stop to the entrance of the reserve.  With Andre, Sebastian, and Yenifer"
10407,species,"Pteroglossus torquatus","Collared Aracari",4,Colombia,"Valle del Cauca",3.8383471,-76.8975967,2022-07-26,obsr169881,"Manacus2022_ Manacus expedition LSU-Humboldt Institute 2022. Birds seen as we walked through town from the brujita stop to the entrance of the reserve.  With Andre, Sebastian, and Yenifer"
10407,species,"Pteroglossus torquatus","Collared Aracari",4,Colombia,"Valle del Cauca",3.8383471,-76.8975967,2022-07-26,obsr792981,""
10407,species,"Pteroglossus torquatus","Collared Aracari",4,Colombia,"Valle del Cauca",3.8687749,-76.8317861,2022-07-23,obsr792981,""
10407,species,"Pteroglossus torquatus","Collared Aracari",5,Colombia,"Valle del Cauca",3.8444200,-76.7937890,2022-07-22,obsr164915,"Manacus2022_ Manacus expedition LSU-Humboldt Institute 2022. Birding the balcony and around the hotel with Andre."
10407,species,"Pteroglossus torquatus","Collared Aracari",5,Colombia,"Valle del Cauca",3.8444200,-76.7937890,2022-07-22,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Birding the balcony and around the hotel with Andre."
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan",1,Colombia,"Valle del Cauca",3.8386410,-76.7928510,2022-07-25,obsr436508,Manacus2022_
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan",1,Colombia,"Valle del Cauca",3.8486402,-76.7873720,2022-07-23,obsr164915,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. With Eamon and Victor. List from ~230 meters elevation at the road to ~500 meters at the clearing. This list includes doubling back to check nets so we passed through the middle elevations multiple times."
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan",1,Colombia,"Valle del Cauca",3.8486402,-76.7873720,2022-07-23,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. With Eamon and Victor. List from ~230 meters elevation at the road to ~500 meters at the clearing. This list includes doubling back to check nets so we passed through the middle elevations multiple times."
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan",1,Colombia,"Valle del Cauca",3.8535890,-76.8561210,2022-07-22,obsr436508,Manacus2022_Lluvia
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan",1,Colombia,"Valle del Cauca",3.8710730,-76.8320980,2022-07-25,obsr436508,Manacus2022_
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan",2,Colombia,"Valle del Cauca",3.8344440,-76.8891670,2022-07-26,obsr164915,"Manacus2022_ Manacus expedition LSU-Humboldt Institute 2022. Birding with Andre, Sebastian, and Yenifer in the San Cipriano reserve. Worked the road starting from the entrance, and did one loop trail through the forest twice. Sunny and warm, lots of birds."
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan",2,Colombia,"Valle del Cauca",3.8344440,-76.8891670,2022-07-26,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Birding with Andre, Sebastian, and Jennifer in the San Cipriano reserve. Worked the road starting from the entrance, and did one loop trail through the forest twice. Sunny and warm, lots of birds."
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan",2,Colombia,"Valle del Cauca",3.8344440,-76.8891670,2022-07-26,obsr792981,""
