tax_order,category,sci_name,comm_name,exotic,count,country,state,lat,lon,dates,observer,media,gui,comments
10459,species,"Ramphastos brevis","Choco Toucan","",3,Colombia,"Nariño",2.581362,-77.92214,7/28/22,obsr436508,0,URN:CornellLabOfOrnithology:EBIRD:OBS1498854861,"Manacus2022_With Diego. Walking the trail between Firmé and Guapi- stopped this list at the Cauca border."
10459,species,"Ramphastos brevis","Choco Toucan","",5,Colombia,"Nariño",2.6426477,-78.0650711,10/29/18,obsr472286,0,URN:CornellLabOfOrnithology:EBIRD:OBS679436363,""
10459,species,"Ramphastos brevis","Choco Toucan","",5,Colombia,"Nariño",2.6426477,-78.0650711,10/29/18,obsr761895,0,URN:CornellLabOfOrnithology:EBIRD:OBS674260630,""
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker","",1,Colombia,"Nariño",2.5480874,-77.9398083,10/22/20,obsr504374,0,URN:CornellLabOfOrnithology:EBIRD:OBS1000889705,""
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker","",1,Colombia,"Nariño",2.5808959,-77.9410282,5/6/22,obsr164410,0,URN:CornellLabOfOrnithology:EBIRD:OBS1418109871,"Sendero atrás de la sede de Chanzará. Fincas de plátano y yuca atravesadas por remanentes de bosque inundable ""guandal"" con algunos árboles de Nato y predominancia de Naidí"
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker","",1,Colombia,"Nariño",2.5808959,-77.9410282,5/6/22,obsr761895,0,URN:CornellLabOfOrnithology:EBIRD:OBS1422947691,""
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker","",1,Colombia,"Nariño",2.582102,-77.941919,7/27/22,obsr164915,0,URN:CornellLabOfOrnithology:EBIRD:OBS1492549532,"Manacus2022_ Manacus expedition LSU-Humboldt Institute 2022. A rainy afternoon walk through town with Diego, Andre, Sebastian, Sixto, and an entourage of kids."
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker","",1,Colombia,"Nariño",2.582102,-77.941919,7/27/22,obsr169881,0,URN:CornellLabOfOrnithology:EBIRD:OBS1492556135,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. A rainy afternoon walk through town with Diego, Andre, Sebastian, Cisto, and an entourage of kids."
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker","",1,Colombia,"Nariño",2.582102,-77.941919,7/27/22,obsr436508,0,URN:CornellLabOfOrnithology:EBIRD:OBS1498854879,"Manacus2022_A rainy afternoon walk through town with Diego, Andre, Sebastian, Cisto, and an entourage of kids."
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker","",1,Colombia,"Nariño",2.582102,-77.941919,7/27/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1492555297,""
10668,species,"Melanerpes pucherani","Black-cheeked Woodpecker","",1,Colombia,"Nariño",2.653057,-78.286562,7/6/00,obsr536137,0,URN:CornellLabOfOrnithology:EBIRD:OBS345776681,""
10955,species,"Dryobates kirkii","Red-rumped Woodpecker","",2,Colombia,"Nariño",2.653057,-78.286562,7/6/00,obsr536137,0,URN:CornellLabOfOrnithology:EBIRD:OBS345776678,""
11049,species,"Campephilus gayaquilensis","Guayaquil Woodpecker","",1,Colombia,"Nariño",2.6426477,-78.0650711,11/14/19,obsr461795,0,URN:CornellLabOfOrnithology:EBIRD:OBS861123282,""
11049,species,"Campephilus gayaquilensis","Guayaquil Woodpecker","",1,Colombia,"Nariño",2.6426477,-78.0650711,11/14/19,obsr761895,0,URN:CornellLabOfOrnithology:EBIRD:OBS857342924,""
11049,species,"Campephilus gayaquilensis","Guayaquil Woodpecker","",1,Colombia,"Nariño",2.6426477,-78.0650711,8/16/18,obsr761895,0,URN:CornellLabOfOrnithology:EBIRD:OBS654494024,""
11049,species,"Campephilus gayaquilensis","Guayaquil Woodpecker","",1,Colombia,"Nariño",2.653057,-78.286562,6/1/04,obsr235630,0,URN:CornellLabOfOrnithology:EBIRD:OBS290506001,""
11049,species,"Campephilus gayaquilensis","Guayaquil Woodpecker","",1,Colombia,"Nariño",2.653057,-78.286562,6/1/04,obsr472286,0,URN:CornellLabOfOrnithology:EBIRD:OBS290506677,""
11049,species,"Campephilus gayaquilensis","Guayaquil Woodpecker","",1,Colombia,"Nariño",2.653057,-78.286562,8/18/03,obsr235630,0,URN:CornellLabOfOrnithology:EBIRD:OBS290499980,""
11049,species,"Campephilus gayaquilensis","Guayaquil Woodpecker","",1,Colombia,"Nariño",2.653057,-78.286562,8/28/07,obsr235630,0,URN:CornellLabOfOrnithology:EBIRD:OBS384172392,""
11049,species,"Campephilus gayaquilensis","Guayaquil Woodpecker","",1,Colombia,"Nariño",2.653057,-78.286562,8/28/07,obsr235630,0,URN:CornellLabOfOrnithology:EBIRD:OBS542144572,""
