Orden,Familia,GŽnero,Especie (nombre cient’fico),Especie (English common name),Especie (nombre comœn),Pericos,Triana,El 40,Zaragoza,Casco urbano Buenaventura,"Aves NO registradas en expedici—n Manacus2022, pero reportadas en eBird (0)"
Galbuliformes,Bucconidae,Micromonacha,Micromonacha lanceolata,Lanceolated Monklet,,1,1,,,,1
Galbuliformes,Bucconidae,Monasa,Monasa morphoeus,White-fronted Nunbird,,1,1,1,,,1
Galbuliformes,Galbulidae,Galbula,Galbula ruficauda,Rufous-tailed Jacamar,,,,,1,,1
Galbuliformes,Galbulidae,Jacamerops,Jacamerops aureus,Great Jacamar,,,,,,,0
Piciformes,Capitonidae,Capito,Capito maculicoronatus,Spot-crowned Barbet,,1,1,1,1,,1
Piciformes,Capitonidae,Capito,Capito quinticolor,Five-colored Barbet,,,,,1,,1
Piciformes,Capitonidae,Eubucco,Eubucco bourcierii,Red-headed Barbet,,,,,,,0
Piciformes,Semnornithidae,Semnornis,Semnornis ramphastinus,Toucan Barbet,,,,,,,0
Piciformes,Ramphastidae,Aulacorhynchus,Aulacorhynchus albivitta,Southern Emerald-Toucanet,,,,,,,0
Piciformes,Ramphastidae,Aulacorhynchus,Aulacorhynchus haematopygus,Crimson-rumped Toucanet,,,,,,,0
Piciformes,Ramphastidae,Pteroglossus,Pteroglossus torquatus,Collared Aracari,,1,1,1,1,,1
Piciformes,Ramphastidae,Ramphastos,Ramphastos ambiguus,Yellow-throated Toucan,,1,1,1,1,,1
Piciformes,Ramphastidae,Ramphastos,Ramphastos brevis,Choco Toucan,,1,1,1,1,,1
Piciformes,Picidae,Picumnus,Picumnus olivaceus,Olivaceous Piculet,,,,,,,0
Piciformes,Picidae,Picumnus,Picumnus granadensis,Grayish Piculet,,,,,,,0
Piciformes,Picidae,Melanerpes,Melanerpes formicivorus,Acorn Woodpecker,,,,,,,0
Piciformes,Picidae,Melanerpes,Melanerpes pucherani,Black-cheeked Woodpecker,,1,1,1,1,,1
Piciformes,Picidae,Melanerpes,Melanerpes rubricapillus,Red-crowned Woodpecker,,1,1,,,,1
Piciformes,Picidae,Dryobates,Dryobates fumigatus,Smoky-brown Woodpecker,,,,,,,0
Piciformes,Picidae,Dryobates,Dryobates kirkii,Red-rumped Woodpecker,,,,,,,0
Piciformes,Picidae,Dryobates,Dryobates dignus,Yellow-vented Woodpecker,,,,,,,0
Piciformes,Picidae,Dryobates,Dryobates chocoensis,Choco Woodpecker,,,,,,,0
Piciformes,Picidae,Campephilus,Campephilus haematogaster,Crimson-bellied Woodpecker,,,,,,,0
Piciformes,Picidae,Campephilus,Campephilus melanoleucos,Crimson-crested Woodpecker,,,,,,,0
Piciformes,Picidae,Dryocopus,Dryocopus lineatus,Lineated Woodpecker,,,,,,,0
Piciformes,Picidae,Celeus,Celeus loricatus,Cinnamon Woodpecker,,,,1,1,,1
Piciformes,Picidae,Piculus,Piculus litae,Lita Woodpecker,,,,1,,,0
Piciformes,Picidae,Colaptes,Colaptes rubiginosus,Golden-olive Woodpecker,,,,,,,0
Piciformes,Picidae,Colaptes,Colaptes punctigula,Spot-breasted Woodpecker,,,,,,,0
Falconiformes,Falconidae,Micrastur,Micrastur ruficollis,Barred Forest-Falcon,,,,,,,0
Falconiformes,Falconidae,Micrastur,Micrastur plumbeus,Plumbeous Forest-Falcon,,,,,,,0
Falconiformes,Falconidae,Micrastur,Micrastur mirandollei,Slaty-backed Forest-Falcon,,,,,,,0
Falconiformes,Falconidae,Micrastur,Micrastur semitorquatus,Collared Forest-Falcon,,,,,,,0
Falconiformes,Falconidae,Ibycter,Ibycter americanus,Red-throated Caracara,,,,,,,0
Falconiformes,Falconidae,Caracara,Caracara plancus,Crested Caracara,,,,,,,0
Falconiformes,Falconidae,Milvago,Milvago chimachima,Yellow-headed Caracara,,1,1,,,1,1
Falconiformes,Falconidae,Herpetotheres,Herpetotheres cachinnans,Laughing Falcon,,,,,,,0
Falconiformes,Falconidae,Falco,Falco sparverius,American Kestrel,,,,,,,0
Falconiformes,Falconidae,Falco,Falco columbarius,Merlin,,,,,,,0
Falconiformes,Falconidae,Falco,Falco femoralis,Aplomado Falcon,,,,,,,0
Falconiformes,Falconidae,Falco,Falco rufigularis,Bat Falcon,,,,,,,0
Falconiformes,Falconidae,Falco,Falco peregrinus,Peregrine Falcon,,,,,,,0
Psittaciformes,Psittacidae,Touit,Touit dilectissimus,Blue-fronted Parrotlet,,,,,,,0
Psittaciformes,Psittacidae,Bolborhynchus,Bolborhynchus lineola,Barred Parakeet,,,,,,,0
Psittaciformes,Psittacidae,Brotogeris,Brotogeris jugularis,Orange-chinned Parakeet,,,,,,,0
Psittaciformes,Psittacidae,Pyrilia,Pyrilia pulchra,Rose-faced Parrot,,,,,1,,1
Psittaciformes,Psittacidae,Pyrilia,Pyrilia pyrilia,Saffron-headed Parrot,,,,,,,0
Psittaciformes,Psittacidae,Pionus,Pionus sordidus,Red-billed Parrot,,,,,,,0
Psittaciformes,Psittacidae,Pionus,Pionus tumultuosus,Speckle-faced Parrot,,,,,,,0
Psittaciformes,Psittacidae,Pionus,Pionus menstruus,Blue-headed Parrot,,1,1,1,1,,1
Psittaciformes,Psittacidae,Pionus,Pionus chalcopterus,Bronze-winged Parrot,,,,,,,0
Psittaciformes,Psittacidae,Amazona,Amazona autumnalis,Red-lored Parrot,,,,,,,0
Psittaciformes,Psittacidae,Amazona,Amazona ochrocephala,Yellow-crowned Parrot,,,,,,,0
Psittaciformes,Psittacidae,Amazona,Amazona farinosa,Mealy Parrot,,,,,,,0
Psittaciformes,Psittacidae,Amazona,Amazona amazonica,Orange-winged Parrot,,,,,,,0
Psittaciformes,Psittacidae,Amazona,Amazona mercenarius,Scaly-naped Parrot,,,,,,,0
Psittaciformes,Psittacidae,Forpus,Forpus conspicillatus,Spectacled Parrotlet,,,1,,,,1
Psittaciformes,Psittacidae,Eupsittula,Eupsittula pertinax,Brown-throated Parakeet,,,,,,,0
Psittaciformes,Psittacidae,Psittacara,Psittacara wagleri,Scarlet-fronted Parakeet,,,,1,,,0
Passeriformes,Sapayoidae,Sapayoa,Sapayoa aenigma,Sapayoa,,,,,,,0
Passeriformes,Thamnophilidae,Euchrepomis,Euchrepomis callinota,Rufous-rumped Antwren,,,,,,,0
Passeriformes,Thamnophilidae,Cymbilaimus,Cymbilaimus lineatus,Fasciated Antshrike,,,,,,,0
Passeriformes,Thamnophilidae,Taraba,Taraba major,Great Antshrike,,,,,,,0
Passeriformes,Thamnophilidae,Thamnophilus,Thamnophilus doliatus,Barred Antshrike,,,,,,,0
Passeriformes,Thamnophilidae,Thamnophilus,Thamnophilus multistriatus,Bar-crested Antshrike,,,,,,,0
Passeriformes,Thamnophilidae,Thamnophilus,Thamnophilus atrinucha,Black-crowned Antshrike,,1,1,1,1,,1
Passeriformes,Thamnophilidae,Thamnophilus,Thamnophilus unicolor,Uniform Antshrike,,,,,,,0
Passeriformes,Thamnophilidae,Thamnistes,Thamnistes anabatinus,Russet Antshrike,,,,,,,0
Passeriformes,Thamnophilidae,Dysithamnus,Dysithamnus mentalis,Plain Antvireo,,,,,,,0
Passeriformes,Thamnophilidae,Dysithamnus,Dysithamnus puncticeps,Spot-crowned Antvireo,,1,1,,,,1
Passeriformes,Thamnophilidae,Epinecrophylla,Epinecrophylla fulviventris,Checker-throated Stipplethroat,,1,1,1,1,,1
Passeriformes,Thamnophilidae,Myrmotherula,Myrmotherula ignota,Moustached Antwren,,1,1,,,,1
Passeriformes,Thamnophilidae,Myrmotherula,Myrmotherula pacifica,Pacific Antwren,,1,1,,1,,1
Passeriformes,Thamnophilidae,Myrmotherula,Myrmotherula axillaris,White-flanked Antwren,,,,1,1,,1
Passeriformes,Thamnophilidae,Myrmotherula,Myrmotherula schisticolor,Slaty Antwren,,,,,,,0
Passeriformes,Thamnophilidae,Herpsilochmus,Herpsilochmus axillaris,Yellow-breasted Antwren,,,,,,,0
Passeriformes,Thamnophilidae,Microrhopias,Microrhopias quixensis,Dot-winged Antwren,,,,,1,,1
Passeriformes,Thamnophilidae,Cercomacroides,Cercomacroides parkeri,Parker's Antbird,,,,,,,0
Passeriformes,Thamnophilidae,Cercomacroides,Cercomacroides tyrannina,Dusky Antbird,,,,,,,0
Passeriformes,Thamnophilidae,Cercomacra,Cercomacra nigricans,Jet Antbird,,,,,,,0
Passeriformes,Thamnophilidae,Gymnocichla,Gymnocichla nudiceps,Bare-crowned Antbird,,,,,,,0
Passeriformes,Thamnophilidae,Poliocrania,Poliocrania exsul,Chestnut-backed Antbird,,1,1,1,1,,1
Passeriformes,Thamnophilidae,Sipia,Sipia nigricauda,Esmeraldas Antbird,,1,1,,,,1
Passeriformes,Thamnophilidae,Sipia,Sipia berlepschi,Stub-tailed Antbird,,,,,1,,1
Passeriformes,Thamnophilidae,Hafferia,Hafferia zeledoni,Zeledon's Antbird,,1,1,,,,1
Passeriformes,Thamnophilidae,Hafferia,Hafferia immaculata,Blue-lored Antbird,,,,,,,0
Passeriformes,Thamnophilidae,Gymnopithys,Gymnopithys bicolor,Bicolored Antbird,,1,1,1,,,1
Passeriformes,Thamnophilidae,Hylophylax,Hylophylax naevioides,Spotted Antbird,,,,,1,,1
Passeriformes,Thamnophilidae,Phaenostictus,Phaenostictus mcleannani,Ocellated Antbird,,1,1,,,,1
Passeriformes,Conopophagidae,Pittasoma,Pittasoma rufopileatum,Rufous-crowned Antpitta,,,,,,,0
Passeriformes,Grallariidae,Grallaria,Grallaria haplonota,Plain-backed Antpitta,,,,,,,0
Passeriformes,Grallariidae,Hylopezus,Hylopezus perspicillatus,Streak-chested Antpitta,,,,,,,0
Passeriformes,Grallariidae,Myrmothera,Myrmothera dives,Thicket Antpitta,,,,,1,,1
Passeriformes,Grallariidae,Grallaricula,Grallaricula flavirostris,Ochre-breasted Antpitta,,,,,,,0
Passeriformes,Rhinocryptidae,Scytalopus,Scytalopus vicinior,Nari–o Tapaculo,,,,,,,0
Passeriformes,Rhinocryptidae,Scytalopus,Scytalopus chocoensis,Choco Tapaculo,,,,,,,0
Passeriformes,Rhinocryptidae,Scytalopus,Scytalopus alvarezlopezi,Tatama Tapaculo,,,,,,,0
Passeriformes,Formicariidae,Formicarius,Formicarius analis,Black-faced Antthrush,,,,,,,0
Passeriformes,Formicariidae,Formicarius,Formicarius nigricapillus,Black-headed Antthrush,,1,1,,,,1
Passeriformes,Furnariidae,Sclerurus,Sclerurus obscurior,South American Leaftosser,,,,,,,0
Passeriformes,Furnariidae,Sclerurus,Sclerurus guatemalensis,Scaly-throated Leaftosser,,,,,,,0
Passeriformes,Furnariidae,Sittasomus,Sittasomus griseicapillus,Olivaceous Woodcreeper,,,,,,,0
Passeriformes,Furnariidae,Dendrocincla,Dendrocincla tyrannina,Tyrannine Woodcreeper,,,,,,,0
Passeriformes,Furnariidae,Dendrocincla,Dendrocincla homochroa,Ruddy Woodcreeper,,,,,,,0
Passeriformes,Furnariidae,Dendrocincla,Dendrocincla fuliginosa,Plain-brown Woodcreeper,,1,1,,,,1
Passeriformes,Furnariidae,Glyphorynchus,Glyphorynchus spirurus,Wedge-billed Woodcreeper,,1,1,1,1,,1
Passeriformes,Furnariidae,Dendrocolaptes,Dendrocolaptes sanctithomae,Northern Barred-Woodcreeper,,1,1,,,,1
Passeriformes,Furnariidae,Dendrocolaptes,Dendrocolaptes picumnus,Black-banded Woodcreeper,,,,,,,0
Passeriformes,Furnariidae,Xiphocolaptes,Xiphocolaptes promeropirhynchus,Strong-billed Woodcreeper,,,,,,,0
Passeriformes,Furnariidae,Xiphorhynchus,Xiphorhynchus susurrans,Cocoa Woodcreeper,,,,,,,0
Passeriformes,Furnariidae,Xiphorhynchus,Xiphorhynchus lachrymosus,Black-striped Woodcreeper,,,,,1,,1
Passeriformes,Furnariidae,Xiphorhynchus,Xiphorhynchus erythropygius,Spotted Woodcreeper,,1,1,1,,,1
Passeriformes,Furnariidae,Xiphorhynchus,Xiphorhynchus triangularis,Olive-backed Woodcreeper,,,,,,,0
Passeriformes,Furnariidae,Dendroplex,Dendroplex picus,Straight-billed Woodcreeper,,,,,,,0
Passeriformes,Furnariidae,Campylorhamphus,Campylorhamphus pusillus,Brown-billed Scythebill,,,,,,,0
Passeriformes,Furnariidae,Lepidocolaptes,Lepidocolaptes souleyetii,Streak-headed Woodcreeper,,,,,,,0
Passeriformes,Furnariidae,Lepidocolaptes,Lepidocolaptes lacrymiger,Montane Woodcreeper,,,,,,,0
Passeriformes,Furnariidae,Xenops,Xenops minutus,Plain Xenops,,1,1,,1,,1
Passeriformes,Furnariidae,Xenops,Xenops rutilans,Streaked Xenops,,,,,,,0
Passeriformes,Furnariidae,Lochmias,Lochmias nematura,Sharp-tailed Streamcreeper,,,,,,,0
Passeriformes,Furnariidae,Anabacerthia,Anabacerthia variegaticeps,Scaly-throated Foliage-gleaner,,,,,,,0
Passeriformes,Furnariidae,Syndactyla,Syndactyla subalaris,Lineated Foliage-gleaner,,,,,,,0
Passeriformes,Furnariidae,Dendroma,Dendroma rufa,Buff-fronted Foliage-gleaner,,,,,,,0
Passeriformes,Furnariidae,Clibanornis,Clibanornis rubiginosus,Ruddy Foliage-gleaner,,,,,,,0
Passeriformes,Furnariidae,Thripadectes,Thripadectes ignobilis,Uniform Treehunter,,,,,,,0
Passeriformes,Furnariidae,Thripadectes,Thripadectes holostictus,Striped Treehunter,,,,,,,0
Passeriformes,Furnariidae,Thripadectes,Thripadectes virgaticeps,Streak-capped Treehunter,,,,,,,0
Passeriformes,Furnariidae,Automolus,Automolus ochrolaemus,Buff-throated Foliage-gleaner,,,,,,,0
Passeriformes,Furnariidae,Automolus,Automolus subulatus,Striped Woodhaunter,,,,,,,0
Passeriformes,Furnariidae,Premnoplex,Premnoplex brunnescens,Spotted Barbtail,,,,,,,0
Passeriformes,Furnariidae,Xenerpestes,Xenerpestes minlosi,Double-banded Graytail,,,,,,,0
Passeriformes,Furnariidae,Cranioleuca,Cranioleuca erythrops,Red-faced Spinetail,,,,,,,0
Passeriformes,Furnariidae,Synallaxis,Synallaxis brachyura,Slaty Spinetail,,,,,,,0
Passeriformes,Furnariidae,Synallaxis,Synallaxis albescens,Pale-breasted Spinetail,,,,,,,0
Passeriformes,Furnariidae,Synallaxis,Synallaxis azarae,Azara's Spinetail,,,,,,,0
Passeriformes,Furnariidae,Synallaxis,Synallaxis unirufa,Rufous Spinetail,,,,,,,0
Passeriformes,Pipridae,Chloropipo,Chloropipo flavicapilla,Yellow-headed Manakin,,,,,,,0
Passeriformes,Pipridae,Masius,Masius chrysopterus,Golden-winged Manakin,,,,,,,0
Passeriformes,Pipridae,Corapipo,Corapipo leucorrhoa,White-bibbed Manakin,,,,,,,0
Passeriformes,Pipridae,Cryptopipo,Cryptopipo holochlora,Green Manakin,,,,,,,0
Passeriformes,Pipridae,Lepidothrix,Lepidothrix coronata,Blue-capped Manakin,,1,1,1,1,,1
Passeriformes,Pipridae,Manacus,Manacus vitellinus,Golden-collared Manakin,,1,1,1,1,,1
Passeriformes,Pipridae,Manacus,Manacus manacus,White-bearded Manakin,,1,1,,,,1
Passeriformes,Pipridae,Machaeropterus,Machaeropterus deliciosus,Club-winged Manakin,,,,,,,0
Passeriformes,Pipridae,Machaeropterus,Machaeropterus striolatus,Striolated Manakin,,,,,,,0
Passeriformes,Pipridae,Pseudopipra,Pseudopipra pipra,White-crowned Manakin,,,,,,,0
Passeriformes,Pipridae,Ceratopipra,Ceratopipra mentalis,Red-capped Manakin,,,,,,,0
Passeriformes,Pipridae,Ceratopipra,Ceratopipra erythrocephala,Golden-headed Manakin,,,,,,,0
Passeriformes,Cotingidae,Pipreola,Pipreola riefferii,Green-and-black Fruiteater,,,,,,,0
Passeriformes,Cotingidae,Pipreola,Pipreola aureopectus,Golden-breasted Fruiteater,,,,,,,0
Passeriformes,Cotingidae,Pipreola,Pipreola jucunda,Orange-breasted Fruiteater,,,,,,,0
Passeriformes,Cotingidae,Ampelioides,Ampelioides tschudii,Scaled Fruiteater,,,,,,,0
Passeriformes,Cotingidae,Rupicola,Rupicola peruvianus,Andean Cock-of-the-rock,,,,,,,0
Passeriformes,Cotingidae,Snowornis,Snowornis cryptolophus,Olivaceous Piha,,,,,,,0
Passeriformes,Cotingidae,Querula,Querula purpurata,Purple-throated Fruitcrow,,1,1,1,1,,1
Passeriformes,Cotingidae,Pyroderus,Pyroderus scutatus,Red-ruffed Fruitcrow,,,,,,,0
Passeriformes,Cotingidae,Cephalopterus,Cephalopterus penduliger,Long-wattled Umbrellabird,,,,,,,0
Passeriformes,Cotingidae,Cotinga,Cotinga nattererii,Blue Cotinga,,,,,,,0
Passeriformes,Cotingidae,Lipaugus,Lipaugus unirufus,Rufous Piha,,,,1,,,0
Passeriformes,Cotingidae,Lipaugus,Lipaugus fuscocinereus,Dusky Piha,,,,,,,0
Passeriformes,Cotingidae,Carpodectes,Carpodectes hopkei,Black-tipped Cotinga,,1,1,,,,1
Passeriformes,Tityridae,Tityra,Tityra inquisitor,Black-crowned Tityra,,,,,1,,1
Passeriformes,Tityridae,Tityra,Tityra semifasciata,Masked Tityra,,1,1,,,,1
Passeriformes,Tityridae,Schiffornis,Schiffornis veraepacis,Northern Schiffornis,,,,,,,0
Passeriformes,Tityridae,Schiffornis,Schiffornis stenorhyncha,Russet-winged Schiffornis,,,,,,,0
Passeriformes,Tityridae,Laniocera,Laniocera rufescens,Speckled Mourner,,,,,,,0
Passeriformes,Tityridae,Pachyramphus,Pachyramphus versicolor,Barred Becard,,,,,,,0
Passeriformes,Tityridae,Pachyramphus,Pachyramphus rufus,Cinereous Becard,,,,,,,0
Passeriformes,Tityridae,Pachyramphus,Pachyramphus cinnamomeus,Cinnamon Becard,,1,1,1,1,,1
Passeriformes,Tityridae,Pachyramphus,Pachyramphus polychopterus,White-winged Becard,,,,,,,0
Passeriformes,Tityridae,Pachyramphus,Pachyramphus albogriseus,Black-and-white Becard,,,,,,,0
Passeriformes,Tityridae,Pachyramphus,Pachyramphus homochrous,One-colored Becard,,,,,,,0
Passeriformes,Onychorhynchidae,Terenotriccus,Terenotriccus erythrurus,Ruddy-tailed Flycatcher,,1,1,,1,,1
Passeriformes,Onychorhynchidae,Myiobius,Myiobius villosus,Tawny-breasted Flycatcher,,,,,,,0
Passeriformes,Oxyruncidae,Myiobius,Myiobius sulphureipygius,Sulphur-rumped Flycatcher,,,,1,,,0
Passeriformes,Onychorhynchidae,Myiobius,Myiobius barbatus,Sulphur-rumped Flycatcher,,,,,,,0
Passeriformes,Onychorhynchidae,Myiobius,Myiobius atricaudus,Black-tailed Flycatcher,,,,,,,0
Passeriformes,Tyrannidae,Platyrinchus,Platyrinchus mystaceus,White-throated Spadebill,,,,,,,0
Passeriformes,Tyrannidae,Platyrinchus,Platyrinchus coronatus,Golden-crowned Spadebill,,,,,,,0
Passeriformes,Tyrannidae,Mionectes,Mionectes striaticollis,Streak-necked Flycatcher,,,,,,,0
Passeriformes,Tyrannidae,Mionectes,Mionectes olivaceus,Olive-striped Flycatcher,,1,1,,1,,1
Passeriformes,Tyrannidae,Mionectes,Mionectes oleagineus,Ochre-bellied Flycatcher,,,,,,,0
Passeriformes,Tyrannidae,Leptopogon,Leptopogon amaurocephalus,Sepia-capped Flycatcher,,,,,,,0
Passeriformes,Tyrannidae,Leptopogon,Leptopogon superciliaris,Slaty-capped Flycatcher,,,,1,,,0
Passeriformes,Tyrannidae,Phylloscartes,Phylloscartes poecilotis,Variegated Bristle-Tyrant,,,,,,,0
Passeriformes,Tyrannidae,Phylloscartes,Phylloscartes ophthalmicus,Marble-faced Bristle-Tyrant,,,,,,,0
Passeriformes,Tyrannidae,Pseudotriccus,Pseudotriccus pelzelni,Bronze-olive Pygmy-Tyrant,,,,,,,0
Passeriformes,Tyrannidae,Myiornis,Myiornis atricapillus,Black-capped Pygmy-Tyrant,,1,1,1,1,,1
Passeriformes,Tyrannidae,Lophotriccus,Lophotriccus pileatus,Scale-crested Pygmy-Tyrant,,,,,,,0
Passeriformes,Tyrannidae,Oncostoma,Oncostoma olivaceum,Southern Bentbill,,,,,,,0
Passeriformes,Tyrannidae,Poecilotriccus,Poecilotriccus sylvia,Slate-headed Tody-Flycatcher,,,,,,,0
Passeriformes,Tyrannidae,Todirostrum,Todirostrum cinereum,Common Tody-Flycatcher,,1,1,,,,1
Passeriformes,Tyrannidae,Todirostrum,Todirostrum nigriceps,Black-headed Tody-Flycatcher,,,,,1,,1
Passeriformes,Tyrannidae,Cnipodectes,Cnipodectes subbrunneus,Brownish Twistwing,,,,,,,0
Passeriformes,Tyrannidae,Rhynchocyclus,Rhynchocyclus brevirostris,Eye-ringed Flatbill,,,,,,,0
Passeriformes,Tyrannidae,Rhynchocyclus,Rhynchocyclus olivaceus,Olivaceous Flatbill,,,,,,,0
Passeriformes,Tyrannidae,Rhynchocyclus,Rhynchocyclus pacificus,Pacific Flatbill,,1,1,,1,,1
Passeriformes,Tyrannidae,Rhynchocyclus,Rhynchocyclus fulvipectus,Fulvous-breasted Flatbill,,,,,,,0
Passeriformes,Tyrannidae,Tolmomyias,Tolmomyias sulphurescens,Yellow-olive Flycatcher,,,,1,,,0
Passeriformes,Tyrannidae,Tolmomyias,Tolmomyias assimilis,Yellow-margined Flycatcher,,,,1,1,,1
Passeriformes,Tyrannidae,Tolmomyias,Tolmomyias flaviventris,Yellow-breasted Flycatcher,,,,,,,0
Passeriformes,Tyrannidae,Pyrrhomyias,Pyrrhomyias cinnamomeus,Cinnamon Flycatcher,,,,,,,0
Passeriformes,Tyrannidae,Myiotriccus,Myiotriccus ornatus,Ornate Flycatcher,,,,,,,0
Passeriformes,Tyrannidae,Nephelomyias,Nephelomyias pulcher,Handsome Flycatcher,,,,,,,0
Passeriformes,Tyrannidae,Ornithion,Ornithion brunneicapillus,Brown-capped Tyrannulet,,,,,1,,1
Passeriformes,Tyrannidae,Camptostoma,Camptostoma obsoletum,Southern Beardless-Tyrannulet,,,,1,,,0
Passeriformes,Tyrannidae,Mecocerculus,Mecocerculus leucophrys,White-throated Tyrannulet,,,,,,,0
Passeriformes,Tyrannidae,Mecocerculus,Mecocerculus minor,Sulphur-bellied Tyrannulet,,,,,,,0
Passeriformes,Tyrannidae,Phaeomyias,Phaeomyias murina,Mouse-colored Tyrannulet,,,,,,,0
Passeriformes,Tyrannidae,Tyrannulus,Tyrannulus elatus,Yellow-crowned Tyrannulet,,1,1,,1,,1
Passeriformes,Tyrannidae,Myiopagis,Myiopagis gaimardii,Forest Elaenia,,,,,,,0
Passeriformes,Tyrannidae,Myiopagis,Myiopagis caniceps,Gray Elaenia,,,,,,,0
Passeriformes,Tyrannidae,Myiopagis,Myiopagis viridicata,Greenish Elaenia,,,,,,,0
Passeriformes,Tyrannidae,Elaenia,Elaenia flavogaster,Yellow-bellied Elaenia,,1,1,,,,1
Passeriformes,Tyrannidae,Elaenia,Elaenia frantzii,Mountain Elaenia,,,,,,,0
Passeriformes,Tyrannidae,Serpophaga,Serpophaga cinerea,Torrent Tyrannulet,,,,,,,0
Passeriformes,Tyrannidae,Phyllomyias,Phyllomyias griseiceps,Sooty-headed Tyrannulet,,,,,,,0
Passeriformes,Tyrannidae,Phyllomyias,Phyllomyias nigrocapillus,Black-capped Tyrannulet,,,,,,,0
Passeriformes,Tyrannidae,Zimmerius,Zimmerius albigularis,Choco Tyrannulet,,,,,,,0
Passeriformes,Tyrannidae,Zimmerius,Zimmerius chrysops,Golden-faced Tyrannulet,,,,,,,0
Passeriformes,Tyrannidae,Myiophobus,Myiophobus phoenicomitra,Orange-crested Flycatcher,,,,,,,0
Passeriformes,Tyrannidae,Myiophobus,Myiophobus fasciatus,Bran-colored Flycatcher,,,,,,,0
Passeriformes,Tyrannidae,Mitrephanes,Mitrephanes phaeocercus,Tufted Flycatcher,,,,,,,0
Passeriformes,Tyrannidae,Contopus,Contopus cooperi,Olive-sided Flycatcher,,,,,,,0
Passeriformes,Tyrannidae,Contopus,Contopus fumigatus,Smoke-colored Pewee,,,,,,,0
Passeriformes,Tyrannidae,Contopus,Contopus sordidulus,Western Wood-Pewee,,,,,,,0
Passeriformes,Tyrannidae,Contopus,Contopus virens,Eastern Wood-Pewee,,,,,,,0
Passeriformes,Tyrannidae,Contopus,Contopus cinereus,Tropical Pewee,,,,,,,0
Passeriformes,Tyrannidae,Empidonax,Empidonax virescens,Acadian Flycatcher,,,,,,,0
Passeriformes,Tyrannidae,Empidonax,Empidonax alnorum,Alder Flycatcher,,,,,,,0
Passeriformes,Tyrannidae,Empidonax,Empidonax traillii,Willow Flycatcher,,,,,,,0
Passeriformes,Tyrannidae,Sayornis,Sayornis nigricans,Black Phoebe,,1,1,,,,1
Passeriformes,Tyrannidae,Pyrocephalus,Pyrocephalus rubinus,Vermilion Flycatcher,,,,,,,0
Passeriformes,Tyrannidae,Ochthoeca,Ochthoeca cinnamomeiventris,Slaty-backed Chat-Tyrant,,,,,,,0
Passeriformes,Tyrannidae,Colonia,Colonia colonus,Long-tailed Tyrant,,1,1,,1,,1
Passeriformes,Tyrannidae,Attila,Attila spadiceus,Bright-rumped Attila,,,,1,,,0
Passeriformes,Tyrannidae,Sirystes,Sirystes albogriseus,Choco Sirystes,,,,,,,0
Passeriformes,Tyrannidae,Rhytipterna,Rhytipterna holerythra,Rufous Mourner,,,,1,,,0
Passeriformes,Tyrannidae,Myiarchus,Myiarchus tuberculifer,Dusky-capped Flycatcher,,,,,,,0
Passeriformes,Tyrannidae,Myiarchus,Myiarchus panamensis,Panama Flycatcher,,,,,,,0
Passeriformes,Tyrannidae,Myiarchus,Myiarchus apicalis,Apical Flycatcher,,1,1,1,,,1
Passeriformes,Tyrannidae,Myiarchus,Myiarchus crinitus,Great Crested Flycatcher,,,,,,,0
Passeriformes,Tyrannidae,Machetornis,Machetornis rixosa,Cattle Tyrant,,1,,,,,1
Passeriformes,Tyrannidae,Pitangus,Pitangus lictor,Lesser Kiskadee,,,,,,,0
Passeriformes,Tyrannidae,Pitangus,Pitangus sulphuratus,Great Kiskadee,,,,1,,,0
Passeriformes,Tyrannidae,Megarynchus,Megarynchus pitangua,Boat-billed Flycatcher,,,,,,,0
Passeriformes,Tyrannidae,Myiozetetes,Myiozetetes cayanensis,Rusty-margined Flycatcher,,1,1,1,1,,1
Passeriformes,Tyrannidae,Myiozetetes,Myiozetetes similis,Social Flycatcher,,,,,,,0
Passeriformes,Tyrannidae,Myiozetetes,Myiozetetes granadensis,Gray-capped Flycatcher,,,,,,,0
Passeriformes,Tyrannidae,Conopias,Conopias albovittatus,White-ringed Flycatcher,,,,,1,,1
Passeriformes,Tyrannidae,Conopias,Conopias cinchoneti,Lemon-browed Flycatcher,,,,,,,0
Passeriformes,Tyrannidae,Myiodynastes,Myiodynastes chrysocephalus,Golden-crowned Flycatcher,,,,,,,0
Passeriformes,Tyrannidae,Myiodynastes,Myiodynastes maculatus,Streaked Flycatcher,,,,,,,0
Passeriformes,Tyrannidae,Myiodynastes,Myiodynastes luteiventris,Sulphur-bellied Flycatcher,,,,,,,0
Passeriformes,Tyrannidae,Legatus,Legatus leucophaius,Piratic Flycatcher,,,,,,,0
Passeriformes,Tyrannidae,Tyrannus,Tyrannus melancholicus,Tropical Kingbird,,1,1,1,1,1,1
Passeriformes,Tyrannidae,Tyrannus,Tyrannus tyrannus,Eastern Kingbird,,,,,,,0
Passeriformes,Tyrannidae,Tyrannus,Tyrannus dominicensis,Gray Kingbird,,,,,,,0
Passeriformes,Tyrannidae,Tyrannus,Tyrannus savana,Fork-tailed Flycatcher,,,,,,,0
Passeriformes,Vireonidae,Cyclarhis,Cyclarhis gujanensis,Rufous-browed Peppershrike,,,,,,,0
